vessel_name,length,breadth,depth,flag,gross tonnage,imonumber
MSC KARLSKRONA,1044.1,140.4,79.1,Portugal,81488,9085558
MAERSK KAWASAKI,1044.1,140.4,79.1,Liberia,81488,9107887
MSC CHARLESTON,1065.6,140.4,47.6,GERMANY,89954,9299537
MAERSK KOTKA,1044.1,140.4,68.90,PORTUGAL,81488,9085534
OOCL GENOA,1098.5,140.4,81.4,HONG KONG,91499,9613587
NYK APOLLO,983.9,131.2,78.4,PANAMA,75484,9247730
MSC KLEVEN,1043.9,460.6,79.1,PORTUGAL,81488,9085546
MAERSK KOKURA,1044.1,140.4,68.9,LIBERIA,81488,9085560
OOCL BEIJING,1099,140.4,81.4,HONG KONG,91563,9477878
MAINE TRADER,964.7,105.6,70.9,MALTA,54271,9292151
MOL COMMITMENT,1036.7,149.6,82,Japan,86695,9629902
MAERSK KURE,998.7,140.4,68.9,LIBERIA,81488,9085522
OOCL TAIPEI,1054.7,140.4,66.4,HONG KONG,91499,9477907
NAVARINO,1099,140.4,81.4,HONG KONG,91354,9400289
OOCL MIAMI,1099.1,140.8,81.4,HONG KONG,91563,9477892
OOCL MEMPHIS,1099.1,140.4,81.4,HONG KONG,91563,9486075
COSCO TAICANG,1091.6,149.6,75.1,HONG KONG,115933,9355575
MOL COMPETENCE,1036.7,149.6,82,JAPAN,87035,9339662
NYK THESEUS,997.6,131.4,81.4,PANAMA,76928,9356701
